,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Jacobus A. Clark,na,na,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Mclaughlin,na,na,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloisius Roth,na,na,collegium georgiopolitanum,collegium georgiopolitanum,na,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Mcelany,na,na,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloisius Roccofort,na,na,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,na,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius J. O'Connell,na,na,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,domus probationis fridericopolitana,collegium washingtoniense,na,collegium washingtoniense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na
Arthurus J. Mcavoy,na,na,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium caesariense sancti petri,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Eduardus Mcgurk,na,na,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Samuel Cahill,na,na,collegium baltimorense,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis fridericopolitana,collegium bostoniense,collegium s. crucis,collegium s. crucis,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na
Den Heuvel,na,na,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na
Carolus A. Heichemer,na,na,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes H. O'Rourke,na,na,collegium baltimorense,collegium baltimorense,collegium georgiopolitanum,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis fridericopolitana,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,domus probationis poughkeepsiensis,collegium sancti francisci xaverii,collegium sancti francisci xaverii,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis
Aloisius Maes,na,na,collegium baltimorense,collegium baltimorense,na,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na
Eduardus Shanahan,na,na,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,na,collegium baltimorense,collegium baltimorense,residentia conewaginensis,residentia conewaginensis,na,na,na,na,na,na,na,na,na,na,na
Patritius J. O'Sullivan,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium bostoniense,collegium bostoniense,collegium bostoniense,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Geraldus J. Bergan,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ignatius P. Deane,na,na,domus probationis fridericopolitana,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Milesius A. Mclaughlin,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,collegium baltimorense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Brosnan,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Kane,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eugenius French,na,na,domus probationis fridericopolitana,na,na,collegium maximum woodstockiense,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius J. Casey,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium caesariense sancti petri,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis
Ricardus Ryan,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Cryan,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Mcdonough,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Mugan,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Harkins,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Virgilius S. Goulden,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Aloisius J. D. Bradley,na,na,domus probationis fridericopolitana,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Barnum,na,na,domus probationis fridericopolitana,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia trojana ad s. josephi,collegium georgiopolitanum,residentia in insula keyser,schola loyolaea neo eboracensis,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na
Audenus A. Hill,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium bostoniense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus P. O'Connor,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,degentes extra provinciam,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na
Jacobus J. Byrne,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes S. Hollohan,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Thomas G. Salter,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Carolus B. Macksey,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,na,na,na,na,na,na
Daniel R. Campbell,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gualterus S. Clarke,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus P. Lamb,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis
Joannes A. Moore,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,collegium baltimorense,collegium fordhamense,collegium fordhamense,residentia bostoniensis ad s. mariae,na,na,na,na,na,na,na,na,na,na
Gulielmus H. Morrison,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium baltimorense,degentes extra provinciam,collegium maximum woodstockiense,collegium georgiopolitanum,collegium sancti francisci xaverii,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na
Franciscus T. Mccarthy,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,collegium sancti francisci xaverii,residentia in insula keyser,na,na,na,na,na,na,na,na,na,na,na
Augustinus J. P. O'Malley,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus T. Mcnulty,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus G. Quirk,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus H. Rockwell,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,collegium brooklyniense,provincial,provincial,provincial,provincial,domus philosophiae westoniensis,domus philosophiae westoniensis,domus philosophiae westoniensis
Josephus E. Clocker,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ricardus F. Furlong,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium georgiopolitanum,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Carolus Bahan,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aemilius De Augustinis,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Aloisius Sabetti,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Aloisius Robaut,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Harpes,na,na,collegium maximum woodstockiense,residentia goshenhoppenensis,collegium baltimorense,domus probationis manresana,residentia goshenhoppenensis,residentia goshenhoppenensis,residentia goshenhoppenensis,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,na,na,na,na,na,na,na
Dominicus Giacobbi,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Beckett,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sanctes Filippi,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Sandaal,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Rigues,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hubertus Heidenreich,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,residentia neo eboracensis ad s. joseph,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Mulry,na,na,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus De Villiers,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Augustinus K. Meyer,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cornelius B. Sullivan,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Gaffney,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus J. Cummings,na,na,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Klocker,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Powers,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
